path,predicted
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000000.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000015.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000030.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000045.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000060.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000075.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000090.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000105.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000120.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000135.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000150.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000165.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000180.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000195.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000210.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000225.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000240.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000255.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000270.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000285.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000300.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000315.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000330.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000345.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000360.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000375.png,bit
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000390.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000405.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000420.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000435.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000450.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000465.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000480.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000495.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000510.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000525.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000540.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000555.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000570.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000585.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000600.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000615.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000630.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000645.png,bit
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000660.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000675.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000690.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000705.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000720.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000735.png,bit
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000750.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000765.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000780.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000795.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000810.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000825.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000840.png,bit
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000855.png,bit
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000870.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000885.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000900.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000915.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000930.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000945.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000960.png,wire
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000975.png,wrench
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_000990.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_001005.png,steel_tape
/Users/leonardoragogna/Desktop/AutonomousRover/data/raw/photos/wrench/IMG_1294.MOV/frame_001020.png,wire
